axis,model,puzzle_index,rating_bucket,iteration,coordinate,correct_fraction,first_solve_progress,stable_solved_duration,remaining_incorrect_fraction
stable_plain,stable_plain,8,0,768,0.8997226357460022,1.0,1.0,0.9576619863510132,0.0
stable_plain,stable_plain,8,0,1024,0.92566978931427,1.0,1.0,0.9992954134941101,0.0
stable_plain,stable_plain,9,0,0,-2.479872465133667,0.14814814925193787,0.0,0.0,0.8518518209457397
stable_plain,stable_plain,9,0,1,-1.6553013324737549,0.5370370149612427,0.1666666716337204,0.0,0.4629629850387573
stable_plain,stable_plain,9,0,2,-1.192291259765625,0.6851851940155029,0.3333333432674408,0.0,0.31481480598449707
stable_plain,stable_plain,9,0,4,-0.4996265470981598,0.6666666865348816,0.6666666865348816,0.0,0.3333333134651184
stable_plain,stable_plain,9,0,8,0.29069259762763977,1.0,1.0,0.19994372129440308,0.0
stable_plain,stable_plain,9,0,12,0.256374716758728,1.0,1.0,0.2999155819416046,0.0
stable_plain,stable_plain,9,0,16,0.3181125819683075,1.0,1.0,0.35839536786079407,0.0
stable_plain,stable_plain,9,0,24,0.3852170705795288,1.0,1.0,0.43207117915153503,0.0
stable_plain,stable_plain,9,0,32,0.42537644505500793,1.0,1.0,0.4806002080440521,0.0
stable_plain,stable_plain,9,0,48,0.48244181275367737,1.0,1.0,0.5457895398139954,0.0
stable_plain,stable_plain,9,0,64,0.527101993560791,1.0,1.0,0.590522825717926,0.0
stable_plain,stable_plain,9,0,96,0.5935439467430115,1.0,1.0,0.6521726250648499,0.0
stable_plain,stable_plain,9,0,128,0.6390169858932495,1.0,1.0,0.6952239274978638,0.0
stable_plain,stable_plain,9,0,192,0.6936913132667542,1.0,1.0,0.7552462816238403,0.0
stable_plain,stable_plain,9,0,256,0.725490391254425,1.0,1.0,0.7975034713745117,0.0
stable_plain,stable_plain,9,0,384,0.768404483795166,1.0,1.0,0.8567444086074829,0.0
stable_plain,stable_plain,9,0,512,0.801554799079895,1.0,1.0,0.8986155390739441,0.0
stable_plain,stable_plain,9,0,768,0.8487411737442017,1.0,1.0,0.9574733972549438,0.0
stable_plain,stable_plain,9,0,1024,0.8749710321426392,1.0,1.0,0.9991540908813477,0.0
stable_plain,stable_plain,12,1-2,0,-2.479871988296509,0.1090909093618393,0.0,0.0,0.8909090757369995
stable_plain,stable_plain,12,1-2,1,-1.4135953187942505,0.581818163394928,0.20000000298023224,0.0,0.418181836605072
stable_plain,stable_plain,12,1-2,2,-0.9490630030632019,0.6000000238418579,0.4000000059604645,0.0,0.3999999761581421
stable_plain,stable_plain,12,1-2,4,-0.7282493710517883,0.800000011920929,0.800000011920929,0.0,0.19999998807907104
stable_plain,stable_plain,12,1-2,8,0.20736002922058105,1.0,1.0,0.23212747275829315,0.0
stable_plain,stable_plain,12,1-2,12,0.26878824830055237,1.0,1.0,0.316903293132782,0.0
stable_plain,stable_plain,12,1-2,16,0.3533959984779358,1.0,1.0,0.3699398338794708,0.0
stable_plain,stable_plain,12,1-2,24,0.4338102340698242,1.0,1.0,0.43910813331604004,0.0
stable_plain,stable_plain,12,1-2,32,0.4797486662864685,1.0,1.0,0.4856613576412201,0.0
stable_plain,stable_plain,12,1-2,48,0.5391435027122498,1.0,1.0,0.5490307807922363,0.0
stable_plain,stable_plain,12,1-2,64,0.5804383754730225,1.0,1.0,0.5929068326950073,0.0
stable_plain,stable_plain,12,1-2,96,0.6392837762832642,1.0,1.0,0.6537318229675293,0.0
stable_plain,stable_plain,12,1-2,128,0.6796947121620178,1.0,1.0,0.6963824033737183,0.0
stable_plain,stable_plain,12,1-2,192,0.726163923740387,1.0,1.0,0.756011426448822,0.0
