model,mode,target,selected_base_alpha,selected_state_alpha,baseline_r2,full_r2,state_partial_r2,label_shuffle_max,random_rank1_max,iteration_shuffle_max
stable_plain,current_constraint,expected_unique_conflicts,0.01,0.01,0.9804496844527923,0.9805290744136715,0.00406080202068948,0.0022803726590281403,0.00012095625267172228,0.004060802020688037
stable_plain,future_improvement,next_snapshot_expected_conflict_reduction,0.01,0.01,0.3725172733799571,0.37174865201145,-0.0012249283301346559,0.0006390563623207557,2.4328985737120945e-07,0.03856270259029915
collapsed_plain,current_constraint,expected_unique_conflicts,0.01,0.01,0.47099031360530297,0.6020521944554429,0.2477494915893732,0.018585592684871588,0.04803392698924003,0.24722589309651533
collapsed_plain,future_improvement,next_snapshot_expected_conflict_reduction,0.01,1.0,0.29868752769366413,0.36699684496674867,0.09740211385153685,0.011382968039302388,0.03966042165640726,0.10652216218907484
late_state_ce,current_constraint,expected_unique_conflicts,0.01,0.01,0.9870358700046301,0.9871591651414607,0.009510482915144003,0.0018169534235854545,3.066388980565993e-05,0.009310079183453168
late_state_ce,future_improvement,next_snapshot_expected_conflict_reduction,0.01,0.01,0.37684939558539465,0.3837499744005515,0.011073693528130812,0.0009439688108801025,6.980321233618358e-05,0.07753117984685332
combined_margin,current_constraint,expected_unique_conflicts,0.01,0.01,0.9832984809897732,0.9833736760774623,0.0045022903391610525,0.0009203842714187171,6.157932421646528e-05,-0.004735416881722854
combined_margin,future_improvement,next_snapshot_expected_conflict_reduction,0.01,0.01,0.3484201375015329,0.35238689438348425,0.006087905888836009,-0.0005460120642739597,3.5114827029669726e-05,0.05064269266533317
