model,snapshot,target,probe_type,selected_alpha,validation_score,final_score,final_secondary_score,label_shuffle_mean,label_shuffle_max,random_subspace_rank,random_subspace_mean,random_subspace_max
stable_plain,16,expected_row_conflicts,numeric,1.0,0.9443345270280651,0.8594315700618568,0.6857170003750184,-0.0899897078099592,0.13502615836328902,1,0.052798018327106316,0.3479560817565003
stable_plain,16,expected_column_conflicts,numeric,1.0,0.9437180012407125,0.8630674458774752,0.6904802710019977,-0.1696599580779064,-0.08000602834991422,1,0.03424428773695791,0.3246341069812336
stable_plain,16,expected_box_conflicts,numeric,1.0,0.9465739390597477,0.8614242567809025,0.6875139125382501,-0.16537488421771174,-0.027447738135471633,1,0.06035643017902277,0.4050495987796314
stable_plain,16,expected_unique_conflicts,numeric,1.0,0.9405589556232735,0.8595353212148584,0.6742070442558322,-0.14800714974356843,-0.02803886936709632,1,0.09008498731314232,0.5177877326317832
stable_plain,16,hard_row_conflicts,numeric,100.0,0.3089023706834304,0.16840589656189708,-0.19579381755522762,-0.012437530013729284,0.03818632924790821,1,0.01283719005442751,0.04598675236273542
stable_plain,16,hard_column_conflicts,numeric,100.0,0.27634234292906934,0.09837232280977826,-0.25864967938040184,-0.017217612419894883,0.047226589717696554,1,0.02537078981462893,0.11377487453990687
stable_plain,16,hard_box_conflicts,numeric,100.0,0.382409698790214,0.2189844462861016,-0.14669782317243896,-0.022252004437798713,0.027396382855863433,1,0.047381079062131376,0.10437195319893788
stable_plain,16,hard_unique_conflicts,numeric,100.0,0.4587794262385254,0.2677278806358412,0.08140021354466898,-0.03741836218576996,0.057493937682243645,1,0.032331527467458814,0.19827753119332203
stable_plain,16,row_candidate_count,numeric,100.0,0.5078672125695707,0.26860920330492144,0.1365232527224164,-0.013815813156486008,0.08811834904381266,1,0.05674513732017724,0.14792249002123026
stable_plain,16,column_candidate_count,numeric,1.0,0.4781481040240292,0.2446719378671247,0.14094340211176204,-0.10557373740173748,0.06263569105587607,1,0.06304195093775482,0.1683194561869965
stable_plain,16,box_candidate_count,numeric,100.0,0.5423999782148119,0.36010803020170856,0.20354086532195437,-0.030741372064383217,0.04323484806776068,1,0.04698521241690663,0.16362169503795443
stable_plain,16,joint_candidate_count,numeric,100.0,0.23355392704625777,0.16405742330799256,-0.10459699220495589,-0.015406255981438473,0.016249187923269237,1,0.02272999973448054,0.08061809193948
stable_plain,16,static_joint_candidate_count,numeric,1.0,0.3913930769496421,0.4372451842352034,0.23355909000384767,-0.15788320874117534,-0.057261740510576864,1,-0.003297614702725646,-0.001164871465872519
stable_plain,16,hard_row_conflicts,categorical,1.0,0.4815089342188488,0.4773986857797629,0.9086879432624113,0.3331735378715245,0.3333333333333333,1,0.3333333333333333,0.3333333333333333
stable_plain,16,hard_column_conflicts,categorical,1.0,0.7570923656927427,0.4668226742441776,0.9069148936170213,0.33331351094196005,0.3333333333333333,1,0.3333333333333333,0.3333333333333333
stable_plain,16,hard_box_conflicts,categorical,1.0,0.6995538019027951,0.6520106589147288,0.9078014184397163,0.4998788759689923,0.5,2,0.5,0.5
stable_plain,16,hard_unique_conflicts,categorical,0.01,0.3764695449478058,0.2943777349271363,0.8430851063829787,0.19984927559711166,0.20186539529716718,4,0.2,0.2
stable_plain,16,row_candidate_count,categorical,100.0,0.468218825506881,0.6016110188772059,0.8368794326241135,0.3333333333333333,0.3333333333333333,3,0.3384892818346056,0.41582850935368926
stable_plain,16,column_candidate_count,categorical,100.0,0.6466338259441707,0.4531893004115226,0.8209219858156028,0.25,0.25,2,0.25,0.25
stable_plain,16,box_candidate_count,categorical,100.0,0.48225782726274935,0.6018994981259133,0.8315602836879432,0.3333333333333333,0.3333333333333333,3,0.3333333333333333,0.3333333333333333
stable_plain,16,joint_candidate_count,categorical,1.0,0.37331281719036824,0.44890326682499015,0.8723404255319149,0.3332094482986455,0.3333333333333333,2,0.3333333333333333,0.3333333333333333
stable_plain,16,static_joint_candidate_count,categorical,1.0,0.2390124480098262,0.21873846453661588,0.4237588652482269,0.14518477558341025,0.16366729067907418,6,0.1450717444114791,0.15008340641334503
stable_plain,16,target_candidate_legal,categorical,100.0,0.9776119402985075,0.9305120167189133,0.8820921985815603,0.5,0.5,1,0.5,0.5
stable_plain,128,expected_row_conflicts,numeric,0.01,,,,,,1,,
stable_plain,128,expected_column_conflicts,numeric,0.01,,,,,,1,,
stable_plain,128,expected_box_conflicts,numeric,0.01,,,,,,1,,
stable_plain,128,expected_unique_conflicts,numeric,0.01,,,,,,1,,
stable_plain,128,hard_row_conflicts,numeric,0.01,,,,,,1,,
stable_plain,128,hard_column_conflicts,numeric,0.01,,,,,,1,,
stable_plain,128,hard_box_conflicts,numeric,0.01,,,,,,1,,
stable_plain,128,hard_unique_conflicts,numeric,0.01,,,,,,1,,
stable_plain,128,row_candidate_count,numeric,0.01,,,,,,1,,
stable_plain,128,column_candidate_count,numeric,0.01,,,,,,1,,
stable_plain,128,box_candidate_count,numeric,0.01,,,,,,1,,
stable_plain,128,joint_candidate_count,numeric,0.01,,,,,,1,,
stable_plain,128,static_joint_candidate_count,numeric,10000.0,-0.005852759753143033,-0.0019149428116191913,0.0018222733059968244,-0.0069596062379983226,-0.002642494964464337,1,-0.004150836177610112,-0.0034321780479196207
stable_plain,128,hard_row_conflicts,categorical,0.01,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0
stable_plain,128,hard_column_conflicts,categorical,0.01,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0
stable_plain,128,hard_box_conflicts,categorical,0.01,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0
stable_plain,128,hard_unique_conflicts,categorical,0.01,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0
stable_plain,128,row_candidate_count,categorical,0.01,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0
stable_plain,128,column_candidate_count,categorical,0.01,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0
stable_plain,128,box_candidate_count,categorical,0.01,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0
stable_plain,128,joint_candidate_count,categorical,0.01,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0
stable_plain,128,static_joint_candidate_count,categorical,0.01,0.14485965194383588,0.13991956158712987,0.3067375886524823,0.1426198807807194,0.15575697236726943,6,0.1430341644854663,0.15043394406943106
stable_plain,128,target_candidate_legal,categorical,0.01,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0
stable_plain,1024,expected_row_conflicts,numeric,0.01,,,,,,1,,
stable_plain,1024,expected_column_conflicts,numeric,0.01,,,,,,1,,
stable_plain,1024,expected_box_conflicts,numeric,0.01,,,,,,1,,
stable_plain,1024,expected_unique_conflicts,numeric,0.01,,,,,,1,,
stable_plain,1024,hard_row_conflicts,numeric,0.01,,,,,,1,,
stable_plain,1024,hard_column_conflicts,numeric,0.01,,,,,,1,,
stable_plain,1024,hard_box_conflicts,numeric,0.01,,,,,,1,,
stable_plain,1024,hard_unique_conflicts,numeric,0.01,,,,,,1,,
stable_plain,1024,row_candidate_count,numeric,0.01,,,,,,1,,
stable_plain,1024,column_candidate_count,numeric,0.01,,,,,,1,,
stable_plain,1024,box_candidate_count,numeric,0.01,,,,,,1,,
stable_plain,1024,joint_candidate_count,numeric,0.01,,,,,,1,,
stable_plain,1024,static_joint_candidate_count,numeric,10000.0,-0.006169347942610814,-0.002085670102360604,0.0013224057022147573,-0.005339692433245974,-0.000739209228788118,1,-0.004398274715405354,-0.0033994706801507846
stable_plain,1024,hard_row_conflicts,categorical,0.01,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0
stable_plain,1024,hard_column_conflicts,categorical,0.01,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0
stable_plain,1024,hard_box_conflicts,categorical,0.01,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0
stable_plain,1024,hard_unique_conflicts,categorical,0.01,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0
stable_plain,1024,row_candidate_count,categorical,0.01,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0
stable_plain,1024,column_candidate_count,categorical,0.01,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0
stable_plain,1024,box_candidate_count,categorical,0.01,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0
stable_plain,1024,joint_candidate_count,categorical,0.01,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0
stable_plain,1024,static_joint_candidate_count,categorical,0.01,0.14583441318337245,0.14216629314660692,0.3067375886524823,0.14533709932316669,0.15904651024744165,6,0.1420136287221806,0.14675850668136106
stable_plain,1024,target_candidate_legal,categorical,0.01,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0
