model,metric,start,end,positive_means_improvement,mean,ci95_low,ci95_high,puzzles
stable_plain,expected_unique_conflicts,16,128,True,0.365183245243084,0.10542631259965833,0.6569526076915402,20
stable_plain,expected_unique_conflicts,128,1024,True,1.6114932339735395e-45,0.0,4.764414778704378e-45,20
stable_plain,expected_unique_conflicts,16,1024,True,0.365183245243084,0.12241649336952465,0.6693759988520276,20
stable_plain,joint_candidate_deviation,16,128,True,0.10415319254248474,0.023728070175438595,0.1974456600945937,20
stable_plain,joint_candidate_deviation,128,1024,True,0.0,0.0,0.0,20
stable_plain,joint_candidate_deviation,16,1024,True,0.10415319254248474,0.027586206896551724,0.20149617774844636,20
stable_plain,target_candidate_legal_fraction,16,128,True,0.14861780234284772,0.04210526315789474,0.27245204655447375,20
stable_plain,target_candidate_legal_fraction,128,1024,True,0.0,0.0,0.0,20
stable_plain,target_candidate_legal_fraction,16,1024,True,0.14861780234284772,0.04210526315789474,0.2797213056151348,20
stable_plain,prediction_accuracy,16,128,True,0.10333512071715338,0.02894736842105264,0.19125322416542917,20
stable_plain,prediction_accuracy,128,1024,True,0.0,0.0,0.0,20
stable_plain,prediction_accuracy,16,1024,True,0.10333512071715338,0.026315789473684216,0.18804334405763606,20
collapsed_plain,expected_unique_conflicts,16,128,True,0.2794997948192807,0.05309245726855773,0.5538855249881256,20
collapsed_plain,expected_unique_conflicts,128,1024,True,-0.6755752928559048,-0.9479042373970251,-0.3682586813345553,20
collapsed_plain,expected_unique_conflicts,16,1024,True,-0.3960755027830601,-0.7477385655231774,-0.008802170827985135,20
collapsed_plain,joint_candidate_deviation,16,128,True,0.08762800417972831,0.016363636363636365,0.17014745916515422,20
collapsed_plain,joint_candidate_deviation,128,1024,True,-0.25719433254199586,-0.35707784692159694,-0.1378827705161218,20
collapsed_plain,joint_candidate_deviation,16,1024,True,-0.16956632836226754,-0.30483834400962345,-0.026799823508123863,20
collapsed_plain,target_candidate_legal_fraction,16,128,True,0.12519193752406094,0.013510408073475227,0.255629420337678,20
collapsed_plain,target_candidate_legal_fraction,128,1024,True,-0.16652593733441057,-0.27535485810485816,-0.032744019302435846,20
collapsed_plain,target_candidate_legal_fraction,16,1024,True,-0.04133399981034965,-0.19625538989519256,0.1337002791873339,20
collapsed_plain,prediction_accuracy,16,128,True,0.08450173238739482,-0.005502949183303079,0.18150975499092545,20
collapsed_plain,prediction_accuracy,128,1024,True,-0.16119259475316644,-0.25238063711994635,-0.05946704620201676,20
collapsed_plain,prediction_accuracy,16,1024,True,-0.07669086236577163,-0.1959484819213438,0.06952735023240356,20
late_state_ce,expected_unique_conflicts,16,128,True,0.2457765640766752,2.7582743587117875e-06,0.49509437902900366,20
late_state_ce,expected_unique_conflicts,128,1024,True,-2.8076281546418612e-05,-4.041972290281137e-05,-1.773393483006203e-05,20
late_state_ce,expected_unique_conflicts,16,1024,True,0.24574848526026472,-2.111514754574273e-05,0.49782881075568525,20
late_state_ce,joint_candidate_deviation,16,128,True,0.09554721443106198,0.0,0.20506269592476487,20
late_state_ce,joint_candidate_deviation,128,1024,True,0.0,0.0,0.0,20
late_state_ce,joint_candidate_deviation,16,1024,True,0.09554721443106198,0.0,0.20208326458780182,20
late_state_ce,target_candidate_legal_fraction,16,128,True,0.11468074575152616,0.0,0.25387605180663225,20
late_state_ce,target_candidate_legal_fraction,128,1024,True,0.0,0.0,0.0,20
late_state_ce,target_candidate_legal_fraction,16,1024,True,0.11468074575152616,0.0,0.23653027553209044,20
late_state_ce,prediction_accuracy,16,128,True,0.07229032612880164,0.0,0.16512924159929607,20
late_state_ce,prediction_accuracy,128,1024,True,0.0,0.0,0.0,20
late_state_ce,prediction_accuracy,16,1024,True,0.07229032612880164,0.0,0.15555051421657592,20
combined_margin,expected_unique_conflicts,16,128,True,0.2940069804313225,0.057080961014031574,0.5815512017432672,20
combined_margin,expected_unique_conflicts,128,1024,True,-2.2781910047342535e-05,-4.670982726793227e-05,9.845726935964089e-08,20
combined_margin,expected_unique_conflicts,16,1024,True,0.2939842087515444,0.051112395698133924,0.5779804079712222,20
combined_margin,joint_candidate_deviation,16,128,True,0.10057196282241654,0.0242543859649123,0.20114392564483308,20
combined_margin,joint_candidate_deviation,128,1024,True,0.0,0.0,0.0,20
combined_margin,joint_candidate_deviation,16,1024,True,0.10057196282241654,0.02456140350877193,0.1992985205961611,20
combined_margin,target_candidate_legal_fraction,16,128,True,0.13399081559698622,0.03333333333333334,0.2717172633778804,20
combined_margin,target_candidate_legal_fraction,128,1024,True,0.0,0.0,0.0,20
combined_margin,target_candidate_legal_fraction,16,1024,True,0.13399081559698622,0.03333333333333334,0.277635848044877,20
combined_margin,prediction_accuracy,16,128,True,0.10048974316669416,0.011403508771929827,0.20097948633338833,20
combined_margin,prediction_accuracy,128,1024,True,0.0,0.0,0.0,20
combined_margin,prediction_accuracy,16,1024,True,0.10048974316669416,0.011403508771929827,0.1978635126216796,20
