model,split,snapshot,expected_row_conflicts,expected_column_conflicts,expected_box_conflicts,expected_unique_conflicts,hard_unique_conflicts,joint_candidate_deviation,target_candidate_legal_fraction,prediction_accuracy,valid_board_fraction,solved_board_fraction
stable_plain,discovery,0,0.9154554605484009,0.915561854839325,0.9155316948890686,2.2892000675201416,14.160216331481934,2.423042304230423,0.882988298829883,0.11701170117011701,0.0,0.0
stable_plain,discovery,1,0.6598570346832275,0.6594609618186951,0.6627423763275146,1.6057822704315186,1.3861385583877563,0.49954995499549953,0.28802880288028804,0.504950495049505,0.0,0.0
stable_plain,discovery,2,0.49333980679512024,0.49729615449905396,0.4960746765136719,1.1886647939682007,0.7686768770217896,0.45724572457245727,0.4221422142214221,0.6273627362736274,0.0,0.0
stable_plain,discovery,4,0.3011334538459778,0.30332696437835693,0.30282026529312134,0.7206677794456482,0.30603060126304626,0.1998199819981998,0.7182718271827183,0.8028802880288028,0.2,0.2
stable_plain,discovery,8,0.09609710425138474,0.09673305600881577,0.09676283597946167,0.2328108251094818,0.09720972180366516,0.05670567056705671,0.873087308730873,0.8964896489648965,0.8,0.8
stable_plain,discovery,16,0.08220899850130081,0.0822770744562149,0.08232976496219635,0.20078901946544647,0.13861386477947235,0.06570657065706571,0.9036903690369037,0.927992799279928,0.85,0.85
stable_plain,discovery,32,0.032980337738990784,0.03284022584557533,0.03287192061543465,0.08116259425878525,0.052205219864845276,0.0333033303330333,0.963096309630963,0.972997299729973,0.95,0.95
stable_plain,discovery,64,5.767052200372769e-12,6.130018801592252e-12,5.872648721483298e-12,1.35262105335765e-11,0.0,0.0,1.0,1.0,1.0,1.0
stable_plain,discovery,128,2.941199359756002e-40,5.2249094800507994e-40,2.9480797352158367e-40,8.23059659513503e-40,0.0,0.0,1.0,1.0,1.0,1.0
stable_plain,discovery,256,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
stable_plain,discovery,512,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
stable_plain,discovery,1024,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
stable_plain,validation,0,0.9139986634254456,0.9143473505973816,0.9137535691261292,2.2856762409210205,14.2158784866333,2.4210526315789473,0.8831400535236396,0.11685994647636039,0.0,0.0
