model,metric,desired_direction,ordered_spearman,shuffle_repeats,shuffle_mean,shuffle_standard_deviation,one_sided_p
stable_plain,expected_unique_conflicts,decrease,0.9929823694376381,2000,-0.0022430133664247355,0.3072584896869405,0.0004997501249375312
stable_plain,joint_candidate_deviation,decrease,0.9644013324700095,2000,-0.0004060637189347407,0.305386459829173,0.0004997501249375312
stable_plain,target_candidate_legal_fraction,increase,0.8556342648982039,2000,-0.0019505560784543782,0.29813100962680633,0.0004997501249375312
stable_plain,prediction_accuracy,increase,0.9644013324700095,2000,-0.0022623550054935576,0.2938948564630722,0.0004997501249375312
collapsed_plain,expected_unique_conflicts,decrease,0.7972027972027972,2000,-0.007437062937062937,0.30075413939291623,0.00399800099950025
collapsed_plain,joint_candidate_deviation,decrease,0.7132867132867133,2000,0.005265734265734266,0.29886904293794275,0.0069965017491254375
collapsed_plain,target_candidate_legal_fraction,increase,0.5314685314685315,2000,-0.0043916083916083915,0.3009555434470312,0.0399800099950025
collapsed_plain,prediction_accuracy,increase,0.7972027972027972,2000,-0.004951048951048951,0.30137505270392406,0.0014992503748125937
late_state_ce,expected_unique_conflicts,decrease,0.9300699300699301,2000,0.0019160839160839171,0.3046154908910922,0.0004997501249375312
late_state_ce,joint_candidate_deviation,decrease,0.9823619317924353,2000,0.008342957855512569,0.3019742575360559,0.0004997501249375312
late_state_ce,target_candidate_legal_fraction,increase,0.8755834609454314,2000,-0.00026516653593672724,0.3046487465817527,0.0004997501249375312
late_state_ce,prediction_accuracy,increase,0.9823619317924353,2000,-0.005331804977627058,0.3032591494680581,0.0004997501249375312
combined_margin,expected_unique_conflicts,decrease,0.9300699300699301,2000,-0.00712237762237762,0.30025305624137727,0.0004997501249375312
combined_margin,joint_candidate_deviation,decrease,0.9823619317924353,2000,-0.005248161842130237,0.2966078865131897,0.0004997501249375312
combined_margin,target_candidate_legal_fraction,increase,0.8755834609454314,2000,-0.0037319075561027828,0.3024030715151164,0.0004997501249375312
combined_margin,prediction_accuracy,increase,0.9823619317924353,2000,-0.0047463030291493204,0.30374283132730107,0.0004997501249375312
