model,observation_iteration,outcome,fit_status,final_rows,final_events,current_margin_auc,current_margin_average_precision,current_margin_top_decile_lift,margin_unordered_auc,margin_unordered_average_precision,margin_unordered_top_decile_lift,margin_ordered_auc,margin_ordered_average_precision,margin_ordered_top_decile_lift,logit_history_auc,logit_history_average_precision,logit_history_top_decile_lift,raw_hidden_auc,raw_hidden_average_precision,raw_hidden_top_decile_lift,residual_pca_auc,residual_pca_average_precision,residual_pca_top_decile_lift
collapsed_plain,256,any_future_loss,fit,1045,247,0.8405122117033474,0.5060070445220145,2.498168498168498,0.8370876584172983,0.4963261512810256,2.3772893772893773,0.8514961492800828,0.5448290522871717,2.5384615384615383,0.8530739804978033,0.5869963634376966,2.498168498168498,0.8955333678325368,0.7071617587988235,3.384615384615385,0.9030115775268129,0.7299983682118087,3.505494505494506
collapsed_plain,512,any_future_loss,fit,1061,215,0.8869976359338061,0.5987248038234371,3.5051510541186697,0.8322392654901314,0.4912679338020925,2.5366224733753526,0.8434713288251141,0.47489824727116225,2.444381656161704,0.8638077959206114,0.4863250176606037,2.444381656161704,0.9090714167903678,0.6858330859331269,3.827993914366442,0.9065973940293583,0.6540893546663202,3.5973918713323187
collapsed_plain,768,any_future_loss,fit,968,118,0.8896610169491526,0.4522515611487369,3.9748383714834876,0.8912362911266202,0.4460451495918032,4.228551459024986,0.8888035892323031,0.38717248305835444,3.29827013803949,0.8893320039880359,0.3953513537635731,3.6365542547614886,0.9167597208374876,0.5085313912803922,4.735977634107985,0.9271585244267199,0.6000464723237809,4.905119692468984
late_state_ce,32,any_future_loss,discovery split has only one class,1020,0,nan,nan,nan,,,,,,,,,,,,,,,
late_state_ce,64,any_future_loss,discovery split has only one class,1050,0,nan,nan,nan,,,,,,,,,,,,,,,
late_state_ce,128,any_future_loss,discovery split has only one class,1128,0,nan,nan,nan,,,,,,,,,,,,,,,
late_state_ce,256,any_future_loss,discovery split has only one class,1128,0,nan,nan,nan,,,,,,,,,,,,,,,
late_state_ce,512,any_future_loss,discovery split has only one class,1128,0,nan,nan,nan,,,,,,,,,,,,,,,
late_state_ce,768,any_future_loss,discovery split has only one class,1128,0,nan,nan,nan,,,,,,,,,,,,,,,
combined_margin,32,any_future_loss,fit,1074,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
combined_margin,64,any_future_loss,fit,1076,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
combined_margin,128,any_future_loss,fit,1128,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
combined_margin,256,any_future_loss,discovery split has only one class,1128,0,nan,nan,nan,,,,,,,,,,,,,,,
combined_margin,512,any_future_loss,discovery split has only one class,1128,0,nan,nan,nan,,,,,,,,,,,,,,,
combined_margin,768,any_future_loss,discovery split has only one class,1128,0,nan,nan,nan,,,,,,,,,,,,,,,
